ID,Razón Social,RUT / CUIT,Operación,Categoría Principal,Total Envíos,Total Camiones,Flete Total USD,Promedio USD/Camión,Último Envío
2722,INDUSTRIA DE PLASTICOS SERPLAS,85172100-2,IMPO,Plásticos y polímeros,4,4,8199.97,2049.99,2025-12-09
2594,VINA VALDIVIESO S.A,91125000-4,IMPO,Envases y embalajes,4,4,6380.00,1595.00,2025-12-22
2915,TECNOVIAL S.A.,77086090-3,IMPO,Metales y siderurgia,3,4,7030.34,1757.59,2025-11-05
3006,PATACON EXPORT WINE S.P.A.,—,EXPO,Bebidas,4,4,4875.00,1218.75,2025-11-10
2917,EMPRESA EL MERCURIO SAP,90193000-7,IMPO,Papel y cartón,2,4,9189.87,2297.47,2025-06-17
3207,DIANA NATURALS CHILE SPA,—,EXPO,Otros,4,4,3400.00,850.00,2026-01-30
2713,INSTITUTO SANITAS S.A.,90073000-4,IMPO,Plásticos y polímeros,4,4,3183.02,795.75,2025-08-25
3213,PURATOS DE CHILE SPA,—,EXPO,Otros,4,4,9359.00,2339.75,2025-11-03
3008,SYNTHESIA CHILE SPA,—,EXPO,Otros,4,4,8800.00,2200.00,2025-06-24
3329,ROCOFRUT S.A.,—,EXPO,Frutas y verduras,4,4,5600.00,1400.00,2025-12-23
2612,COMPANIA NACIONAL DE CUEROS S,79528870-8,IMPO,Otros,4,4,10433.68,2608.42,2025-12-01
2270,APIA S.A.,99537890-6,IMPO,Otros,3,4,9400.00,2350.00,2026-01-28
2691,CARGILL COSTANERA SPA,76948423-K,IMPO,Cereales y harinas,4,4,13000.00,3250.00,2026-01-22
3250,CONGELADOS PACIFICO S.A.,—,EXPO,Otros,4,4,16340.17,4085.04,2026-01-21
3254,INDUSTRIA CORCHERA S.A.,—,EXPO,Madera y corcho,4,4,2328.51,582.13,2025-12-26
2552,GAMA CHILE S.A,78806090-4,IMPO,Farmacia y salud,3,4,14599.99,3650.00,2025-10-13
2672,SOC.COM.EXCED.IND.POLIPLAS LTD,77320250-8,IMPO,Papel y cartón,4,4,11016.59,2754.15,2025-05-22
3266,CEMCO KOSANGAS S.A.,—,EXPO,Maquinaria y equipos,4,4,11000.00,2750.00,2026-01-07
3345,PROQUIEL QUIMICOS LIMITADA,—,EXPO,Otros,4,4,12950.00,3237.50,2025-11-30
2662,HONDA MOTOR DE CHILE S A,96870620-9,IMPO,Otros,4,4,18670.00,4667.50,2026-01-07
2970,IMPORTADORA AGROFOR LIMITADA,79947280-5,IMPO,Aceites y grasas,4,4,5980.01,1495.00,2025-11-20
3022,CLARIANT PLASTICS & COATINGS (,—,EXPO,Yerba y infusiones,4,4,7575.01,1893.75,2026-01-09
3272,FERTILIZANTES COMPO AGRO CHILE,—,EXPO,Minerales y fertilizantes,2,4,9700.00,2425.00,2026-01-27
2936,OLIVOS DEL SUR S.A.,99573760-4,IMPO,Aceites y grasas,4,4,16800.00,4200.00,2025-12-10
3351,INGER S A,—,EXPO,Yerba y infusiones,4,4,28788.00,7197.00,2026-01-29
2645,SOC.AGRIC.Y FORESTAL CASINO LT,85915500-6,IMPO,Otros,3,4,9546.00,2386.50,2026-01-07
2997,SIBELCO CHILE LTDA.,—,EXPO,Otros,4,4,6900.01,1725.00,2025-08-14
2409,NUTRIAL S.A.,99509020-1,IMPO,Químicos industriales,4,4,6773.00,1693.25,2025-08-14
2329,THE GARAGE COMPANY SPA,76996765-6,IMPO,Otros,4,4,5780.00,1445.00,2025-12-12
2873,AUTOMOTORA BEPOBUS CHILE SPA,76865908-7,IMPO,Otros,4,4,12400.00,3100.00,2025-12-31
3100,SOLENIS ESPECIALIDADES QUIMICA,—,EXPO,Químicos industriales,4,4,10400.00,2600.00,2025-09-03
3289,ACMA S.A,—,EXPO,Otros,4,4,9200.00,2300.00,2026-01-30
2862,SOCIEDAD PESQUERA LANDES SOCIE,92387000-8,IMPO,Cereales y harinas,4,4,13600.00,3400.00,2025-02-26
2630,SCIENZA CHILE SPA,77634874-0,IMPO,Farmacia y salud,4,4,12160.00,3040.00,2026-01-28
2884,MIMET S.A.,93538000-6,IMPO,Otros,4,4,5700.01,1425.00,2026-01-12
2311,CHAMPION S.A.,92117000-9,IMPO,Carnes y derivados,4,4,11548.68,2887.17,2025-11-12
2465,LAB. DRAG PHARMA CHILE INVETEC,80494200-9,IMPO,Otros,4,4,6665.00,1666.25,2025-12-11
3125,VINILIT S.A.,—,EXPO,Metales y siderurgia,4,4,9346.79,2336.70,2025-10-24
2299,EXPORTADORA MULTIMARES LTDA,76039204-9,IMPO,Aceites y grasas,4,4,11800.00,2950.00,2026-01-29
3083,COBRE CERRILLOS S.A.,—,EXPO,Metales y siderurgia,4,4,6664.60,1666.15,2026-01-07
2425,HALLIBURTON SERVICIOS CHILE LT,86304000-0,IMPO,Químicos industriales,4,4,8628.00,2157.00,2025-11-06
3138,YAMAIMPORT S.A,—,EXPO,Otros,4,4,3299.93,824.98,2025-09-25
3175,FRUTOS LA AGUADA S.A.,—,EXPO,Frutas y verduras,3,3,8100.00,2700.00,2025-02-28
2616,EMPRESAS CLORAMON S.A,83019500-9,IMPO,Químicos industriales,3,3,8430.00,2810.00,2025-11-05
2584,TECNORED S.A.,77302440-5,IMPO,Otros,3,3,2860.00,953.33,2025-12-15
3359,VIRUTEX ILKO S A,—,EXPO,Otros,3,3,4600.01,1533.34,2025-12-26
2573,INVERSIONES COLLINS Y COLLINS,79921700-7,IMPO,Otros,3,3,2446.99,815.66,2026-01-19
2567,PERSIANAS ANDINA  LTDA,78080500-5,IMPO,Otros,3,3,4699.00,1566.33,2025-03-31
2659,INDATAL SPA,79956220-0,IMPO,Cereales y harinas,3,3,6087.00,2029.00,2025-05-29
2664,VINA FRANCISCO DE AGUIRRE S.A.,96668670-7,IMPO,Otros,3,3,2028.58,676.19,2025-07-29
2665,GUALA CLOSURES CHILE SPA,76493466-0,IMPO,Otros,3,3,5814.00,1938.00,2025-03-31
2545,TECBOLT SA,96565870-K,IMPO,Otros,3,3,5550.00,1850.00,2025-10-14
2693,COMERC.DE ALIMENT. CISNES LTDA,79690060-1,IMPO,Carnes y derivados,3,3,9975.00,3325.00,2025-08-04
2539,COSME CHILE S.A.,76236592-8,IMPO,Otros,3,3,5820.40,1940.13,2026-01-20
2536,VINA CONCHA Y TORO S.A.,90227000-0,IMPO,Otros,3,3,2792.00,930.67,2025-10-24
2704,MASONITE CHILE S.A.,96773280-K,IMPO,Madera y corcho,2,3,11320.01,3773.34,2026-01-30
